action,extension,name,cid_masquerade,sipname,outboundcid,ringtimer,callwaiting,call_screen,pinless,password,emergency_cid,tech,hardware,devinfo_channel,devinfo_secret,devinfo_notransfer,devinfo_dtmfmode,devinfo_canreinvite,devinfo_context,devinfo_immediate,devinfo_signalling,devinfo_echocancel,devinfo_echocancelwhenbrdiged,devinfo_echotraining,devinfo_busydetect,devinfo_busycount,devinfo_callprogress,devinfo_host,devinfo_type,devinfo_nat,devinfo_port,devinfo_qualify,devinfo_callgroup,devinfo_pickupgroup,devinfo_disallow,devinfo_allow,devinfo_dial,devinfo_accountcode,devinfo_mailbox,devinfo_deny,devinfo_permit,devicetype,deviceid,deviceuser,description,dictenabled,dictformat,dictemail,langcode,record_in,record_out,vm,vmpwd,email,pager,attach,saycid,envelope,delete,options,vmcontext,vmx_state,vmx_unavail_enabled,vmx_busy_enabled,vmx_play_instructions,vmx_option_0_sytem_default,vmx_option_0_number,vmx_option_1_system_default,vmx_option_1_number,vmx_option_2_number,account,ddial,pre_ring,strategy,grptime,grplist,annmsg_id,ringing,grppre,dring,needsconf,remotealert_id,toolate_id,postdest,faxenabled,faxemail
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
add,201,201,,,,0,enabled,0,,,,sip,,,1234,,rfc2833,no,from-internal,,,,,,,,,dynamic,friend,yes,5060,yes,,,,,SIP/201,,201@device,0.0.0.0/0.0.0.0,0.0.0.0/0.0.0.0,fixed,,201,201,disabled,ogg,,,,Adhoc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
add,202,202,,,,0,enabled,0,,,,sip,,,1234,,rfc2833,no,from-internal,,,,,,,,,dynamic,friend,yes,5060,yes,,,,,SIP/202,,202@device,0.0.0.0/0.0.0.0,0.0.0.0/0.0.0.0,fixed,,202,202,disabled,ogg,,,,Adhoc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
add,203,203,,,,0,enabled,0,,,,sip,,,1234,,rfc2833,no,from-internal,,,,,,,,,dynamic,friend,yes,5060,yes,,,,,SIP/203,,203@device,0.0.0.0/0.0.0.0,0.0.0.0/0.0.0.0,fixed,,203,203,disabled,ogg,,,,Adhoc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
add,204,204,,,,0,enabled,0,,,,sip,,,1234,,rfc2833,no,from-internal,,,,,,,,,dynamic,friend,yes,5060,yes,,,,,SIP/204,,204@device,0.0.0.0/0.0.0.0,0.0.0.0/0.0.0.0,fixed,,204,204,disabled,ogg,,,,Adhoc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
add,205,205,,,,0,enabled,0,,,,sip,,,1234,,rfc2833,no,from-internal,,,,,,,,,dynamic,friend,yes,5060,yes,,,,,SIP/205,,205@device,0.0.0.0/0.0.0.0,0.0.0.0/0.0.0.0,fixed,,205,205,disabled,ogg,,,,Adhoc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
add,206,206,,,,0,enabled,0,,,,sip,,,1234,,rfc2833,no,from-internal,,,,,,,,,dynamic,friend,yes,5060,yes,,,,,SIP/206,,206@device,0.0.0.0/0.0.0.0,0.0.0.0/0.0.0.0,fixed,,206,206,disabled,ogg,,,,Adhoc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
add,207,207,,,,0,enabled,0,,,,sip,,,1234,,rfc2833,no,from-internal,,,,,,,,,dynamic,friend,yes,5060,yes,,,,,SIP/207,,207@device,0.0.0.0/0.0.0.0,0.0.0.0/0.0.0.0,fixed,,207,207,disabled,ogg,,,,Adhoc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
add,208,208,,,,0,enabled,0,,,,sip,,,1234,,rfc2833,no,from-internal,,,,,,,,,dynamic,friend,yes,5060,yes,,,,,SIP/208,,208@device,0.0.0.0/0.0.0.0,0.0.0.0/0.0.0.0,fixed,,208,208,disabled,ogg,,,,Adhoc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
add,209,209,,,,0,enabled,0,,,,sip,,,1234,,rfc2833,no,from-internal,,,,,,,,,dynamic,friend,yes,5060,yes,,,,,SIP/209,,209@device,0.0.0.0/0.0.0.0,0.0.0.0/0.0.0.0,fixed,,209,209,disabled,ogg,,,,Adhoc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
